01/12/2004 (C) 2004 Industry Classification Benchmark (ICB). All Rights Reserved
ICB Universe  - Full Universe

Unique Identifier|ISIN Code|SEDOL|CUSIP|Local Market Code|Security Name|Company Code|Country Code|Domicile Code|MIC Code|ICB Industry Code|ICB Supersector Code|ICB Sector Code|ICB Subsector Code
C01755|GB0006466089|0646608||NFDS|"Northern Foods"||GB|||3000|3500|3570|3577
C01760|GB0006650450|0665045||OXIG|"Oxford Instruments"||GB|||2000|2700|2730|2737
C01765|GB0006776081|0677608||PSON|"Pearson"||GB|||5000|5500|5550|5557
C01761|GB0006800485|0680048||PO.|"Peninsular & Oriental Steam Nav Co"||GB|||2000|2700|2770|2777
C01769|GB0006884620|0688462||PILK|"Pilkington"||GB|||2000|2300|2350|2353
C01775|GB0002685963|0268596||PFG|"Provident Financial"||GB|||8000|8700|8770|8773
C01776|GB0007099541|0709954||PRU|"Prudential"||GB|||8000|8500|8570|8575
C01779|GB0007240764|0724076||RNK|"Rank Group"||GB|||5000|5700|5750|5755
C20184|GB0000403740|0040374||SIG|"Signet Group"||GB|||5000|5300|5370|5371
C01791|GB0007266413|0726641||RMC|"RMC Group"||GB|||2000|2300|2350|2353
C01782|GB0007278715|0727871||RB.|"Reckitt Benckiser"||GB|||3000|3700|3720|3724
C01784|GB0007308355|0730835||REL|"Reed Elsevier"||GB|||5000|5500|5550|5557
C01786|GB0007323586|0732358||RSW|"Renishaw"||GB|||2000|2700|2730|2737
C01787|GB0007327124|0732712||RTO|"Rentokil Initial"||GB|||2000|2700|2790|2791
C01788|GB0002369139|0236913||RTR|"Reuters Group"||GB|||5000|5500|5550|5557
C01798|GB0007188757|0718875||RIO|"Rio Tinto"||GB|||1000|1700|1770|1775
C01796|GB0007547838|0754783||RBS|"Royal Bank Of Scotland Group"||GB|||8000|8300|8350|8355
